Number,Name,Form,Type 1,Type 2,HP,Attack,Defense,Sp.Attack,Sp.Defense,Speed,Generation,Sprite,Shiny
12,Butterfree,,Bug,Flying,60,45,50,90,80,70,1,poke_icon_0012_000_md_n_00000000_f_n.png,poke_icon_sh_0012_000_md_n_00000000_f_n.png
13,Weedle,,Bug,Poison,40,35,30,20,20,50,1,poke_icon_0013_000_mf_n_00000000_f_n.png,poke_icon_sh_0013_000_mf_n_00000000_f_n.png
14,Kakuna,,Bug,Poison,45,25,50,25,25,35,1,poke_icon_0014_000_mf_n_00000000_f_n.png,poke_icon_sh_0014_000_mf_n_00000000_f_n.png
15,Beedrill,,Bug,Poison,65,90,40,45,80,75,1,poke_icon_0015_000_mf_n_00000000_f_n.png,poke_icon_sh_0015_000_mf_n_00000000_f_n.png
16,Pidgey,,Normal,Flying,40,45,40,35,35,56,1,poke_icon_0016_000_mf_n_00000000_f_n.png,poke_icon_sh_0016_000_mf_n_00000000_f_n.png
17,Pidgeotto,,Normal,Flying,63,60,55,50,50,71,1,poke_icon_0017_000_mf_n_00000000_f_n.png,poke_icon_sh_0017_000_mf_n_00000000_f_n.png
18,Pidgeot,,Normal,Flying,83,80,75,70,70,101,1,poke_icon_0018_000_mf_n_00000000_f_n.png,poke_icon_sh_0018_000_mf_n_00000000_f_n.png
19,Rattata,,Normal,,30,56,35,25,35,72,1,poke_icon_0019_000_md_n_00000000_f_n.png,poke_icon_sh_0019_000_md_n_00000000_f_n.png
19,Rattata,Alolan Rattata,Dark,Normal,30,56,35,25,35,72,7,poke_icon_0019_001_mf_n_00000000_f_n.png,poke_icon_sh_0019_001_mf_n_00000000_f_n.png
20,Raticate,,Normal,,55,81,60,50,70,97,1,poke_icon_0020_000_md_n_00000000_f_n.png,poke_icon_sh_0020_000_md_n_00000000_f_n.png
20,Raticate,Alolan Raticate,Dark,Normal,75,71,70,40,80,77,7,poke_icon_0020_001_mf_n_00000000_f_n.png,poke_icon_sh_0020_001_mf_n_00000000_f_n.png
21,Spearow,,Normal,Flying,40,60,30,31,31,70,1,poke_icon_0021_000_mf_n_00000000_f_n.png,poke_icon_sh_0021_000_mf_n_00000000_f_n.png
22,Fearow,,Normal,Flying,65,90,65,61,61,100,1,poke_icon_0022_000_mf_n_00000000_f_n.png,poke_icon_sh_0022_000_mf_n_00000000_f_n.png
23,Ekans,,Poison,,35,60,44,40,54,55,1,poke_icon_0023_000_mf_n_00000000_f_n.png,poke_icon_sh_0023_000_mf_n_00000000_f_n.png
24,Arbok,,Poison,,60,95,69,65,79,80,1,poke_icon_0024_000_mf_n_00000000_f_n.png,poke_icon_sh_0024_000_mf_n_00000000_f_n.png
25,Pikachu,,Electric,,35,55,40,50,50,90,1,poke_icon_0025_000_md_n_00000000_f_n.png,poke_icon_sh_0025_000_md_n_00000000_f_n.png
26,Raichu,,Electric,,60,90,55,90,80,110,1,poke_icon_0026_000_md_n_00000000_f_n.png,poke_icon_sh_0026_000_md_n_00000000_f_n.png
26,Raichu,Alolan Raichu,Electric,Psychic,60,85,50,95,85,110,7,poke_icon_0026_001_mf_n_00000000_f_n.png,poke_icon_sh_0026_001_mf_n_00000000_f_n.png
27,Sandshrew,,Ground,,50,75,85,20,30,40,1,poke_icon_0027_000_mf_n_00000000_f_n.png,poke_icon_sh_0027_000_mf_n_00000000_f_n.png
27,Sandshrew,Alolan Sandshrew,Ice,Steel,50,75,90,10,35,40,7,poke_icon_0027_001_mf_n_00000000_f_n.png,poke_icon_sh_0027_001_mf_n_00000000_f_n.png
28,Sandslash,,Ground,,75,100,110,45,55,65,1,poke_icon_0028_000_mf_n_00000000_f_n.png,poke_icon_sh_0028_000_mf_n_00000000_f_n.png
28,Sandslash,Alolan Sandslash,Ice,Steel,75,100,120,25,65,65,7,poke_icon_0028_001_mf_n_00000000_f_n.png,poke_icon_sh_0028_001_mf_n_00000000_f_n.png
29,Nidoran♀,,Poison,,55,47,52,40,40,41,1,poke_icon_0029_000_fo_n_00000000_f_n.png,poke_icon_sh_0029_000_fo_n_00000000_f_n.png
30,Nidorina,,Poison,,70,62,67,55,55,56,1,poke_icon_0030_000_fo_n_00000000_f_n.png,poke_icon_sh_0030_000_fo_n_00000000_f_n.png
31,Nidoqueen,,Poison,Ground,90,92,87,75,85,76,1,poke_icon_0031_000_fo_n_00000000_f_n.png,poke_icon_sh_0031_000_fo_n_00000000_f_n.png
32,Nidoran♂,,Poison,,46,57,40,40,40,50,1,poke_icon_0032_000_mo_n_00000000_f_n.png,poke_icon_sh_0032_000_mo_n_00000000_f_n.png
33,Nidorino,,Poison,,61,72,57,55,55,65,1,poke_icon_0033_000_mo_n_00000000_f_n.png,poke_icon_sh_0033_000_mo_n_00000000_f_n.png
34,Nidoking,,Poison,Ground,81,102,77,85,75,85,1,poke_icon_0034_000_mo_n_00000000_f_n.png,poke_icon_sh_0034_000_mo_n_00000000_f_n.png
35,Clefairy,,Fairy,,70,45,48,60,65,35,1,poke_icon_0035_000_mf_n_00000000_f_n.png,poke_icon_sh_0035_000_mf_n_00000000_f_n.png
36,Clefable,,Fairy,,95,70,73,95,90,60,1,poke_icon_0036_000_mf_n_00000000_f_n.png,poke_icon_sh_0036_000_mf_n_00000000_f_n.png
37,Vulpix,,Fire,,38,41,40,50,65,65,1,poke_icon_0037_000_mf_n_00000000_f_n.png,poke_icon_sh_0037_000_mf_n_00000000_f_n.png
37,Vulpix,Alolan Vulpix,Ice,,38,41,40,50,65,65,7,poke_icon_0037_001_mf_n_00000000_f_n.png,poke_icon_sh_0037_001_mf_n_00000000_f_n.png
38,Ninetales,,Fire,,73,76,75,81,100,100,1,poke_icon_0038_000_mf_n_00000000_f_n.png,poke_icon_sh_0038_000_mf_n_00000000_f_n.png
38,Ninetales,Alolan Ninetales,Ice,Fairy,73,67,75,81,100,109,7,poke_icon_0038_001_mf_n_00000000_f_n.png,poke_icon_sh_0038_001_mf_n_00000000_f_n.png
39,Jigglypuff,,Normal,Fairy,115,45,20,45,25,20,1,poke_icon_0039_000_mf_n_00000000_f_n.png,poke_icon_sh_0039_000_mf_n_00000000_f_n.png
40,Wigglytuff,,Normal,Fairy,140,70,45,85,50,45,1,poke_icon_0040_000_mf_n_00000000_f_n.png,poke_icon_sh_0040_000_mf_n_00000000_f_n.png
41,Zubat,,Poison,Flying,40,45,35,30,40,55,1,poke_icon_0041_000_md_n_00000000_f_n.png,poke_icon_sh_0041_000_md_n_00000000_f_n.png
42,Golbat,,Poison,Flying,75,80,70,65,75,90,1,poke_icon_0042_000_md_n_00000000_f_n.png,poke_icon_sh_0042_000_md_n_00000000_f_n.png
43,Oddish,,Grass,Poison,45,50,55,75,65,30,1,poke_icon_0043_000_mf_n_00000000_f_n.png,poke_icon_sh_0043_000_mf_n_00000000_f_n.png
44,Gloom,,Grass,Poison,60,65,70,85,75,40,1,poke_icon_0044_000_md_n_00000000_f_n.png,poke_icon_sh_0044_000_md_n_00000000_f_n.png
45,Vileplume,,Grass,Poison,75,80,85,110,90,50,1,poke_icon_0045_000_md_n_00000000_f_n.png,poke_icon_sh_0045_000_md_n_00000000_f_n.png
46,Paras,,Bug,Grass,35,70,55,45,55,25,1,poke_icon_0046_000_mf_n_00000000_f_n.png,poke_icon_sh_0046_000_mf_n_00000000_f_n.png
47,Parasect,,Bug,Grass,60,95,80,60,80,30,1,poke_icon_0047_000_mf_n_00000000_f_n.png,poke_icon_sh_0047_000_mf_n_00000000_f_n.png
48,Venonat,,Bug,Poison,60,55,50,40,55,45,1,poke_icon_0048_000_mf_n_00000000_f_n.png,poke_icon_sh_0048_000_mf_n_00000000_f_n.png
49,Venomoth,,Bug,Poison,70,65,60,90,75,90,1,poke_icon_0049_000_mf_n_00000000_f_n.png,poke_icon_sh_0049_000_mf_n_00000000_f_n.png
50,Diglett,,Ground,,10,55,25,35,45,95,1,poke_icon_0050_000_mf_n_00000000_f_n.png,poke_icon_sh_0050_000_mf_n_00000000_f_n.png
50,Diglett,Alolan Diglett,Ground,Steel,10,55,30,35,45,90,7,poke_icon_0050_001_mf_n_00000000_f_n.png,poke_icon_sh_0050_001_mf_n_00000000_f_n.png
51,Dugtrio,,Ground,,35,100,50,50,70,120,1,poke_icon_0051_000_mf_n_00000000_f_n.png,poke_icon_sh_0051_000_mf_n_00000000_f_n.png
51,Dugtrio,Alolan Dugtrio,Ground,Steel,35,100,60,50,70,110,7,poke_icon_0051_001_mf_n_00000000_f_n.png,poke_icon_sh_0051_001_mf_n_00000000_f_n.png
52,Meowth,,Normal,,40,45,35,40,40,90,1,poke_icon_0052_000_mf_n_00000000_f_n.png,poke_icon_sh_0052_000_mf_n_00000000_f_n.png
52,Meowth,Alolan Meowth,Dark,,40,35,35,50,40,90,7,poke_icon_0052_001_mf_n_00000000_f_n.png,poke_icon_sh_0052_001_mf_n_00000000_f_n.png
52,Meowth,Galarian Meowth,Steel,,50,65,55,40,40,40,8,poke_icon_0052_002_mf_n_00000000_f_n.png,poke_icon_sh_0052_002_mf_n_00000000_f_n.png
53,Persian,,Normal,,65,70,60,65,65,115,1,poke_icon_0053_000_mf_n_00000000_f_n.png,poke_icon_sh_0053_000_mf_n_00000000_f_n.png
53,Persian,Alolan Persian,Dark,,65,60,60,75,65,115,7,poke_icon_0053_001_mf_n_00000000_f_n.png,poke_icon_sh_0053_001_mf_n_00000000_f_n.png
54,Psyduck,,Water,,50,52,48,65,50,55,1,poke_icon_0054_000_mf_n_00000000_f_n.png,poke_icon_sh_0054_000_mf_n_00000000_f_n.png
55,Golduck,,Water,,80,82,78,95,80,85,1,poke_icon_0055_000_mf_n_00000000_f_n.png,poke_icon_sh_0055_000_mf_n_00000000_f_n.png
56,Mankey,,Fighting,,40,80,35,35,45,70,1,poke_icon_0056_000_mf_n_00000000_f_n.png,poke_icon_sh_0056_000_mf_n_00000000_f_n.png
57,Primeape,,Fighting,,65,105,60,60,70,95,1,poke_icon_0057_000_mf_n_00000000_f_n.png,poke_icon_sh_0057_000_mf_n_00000000_f_n.png
58,Growlithe,,Fire,,55,70,45,70,50,60,1,poke_icon_0058_000_mf_n_00000000_f_n.png,poke_icon_sh_0058_000_mf_n_00000000_f_n.png
58,Growlithe,Hisuian Growlithe,Fire,Rock,60,75,45,65,50,55,8,poke_icon_0058_001_mf_n_00000000_f_n.png,poke_icon_sh_0058_001_mf_n_00000000_f_n.png
59,Arcanine,,Fire,,90,110,80,100,80,95,1,poke_icon_0059_000_mf_n_00000000_f_n.png,poke_icon_sh_0059_000_mf_n_00000000_f_n.png
59,Arcanine,Hisuian Arcanine,Fire,Rock,95,115,80,95,80,90,8,poke_icon_0059_001_mf_n_00000000_f_n.png,poke_icon_sh_0059_001_mf_n_00000000_f_n.png
60,Poliwag,,Water,,40,50,40,40,40,90,1,poke_icon_0060_000_mf_n_00000000_f_n.png,poke_icon_sh_0060_000_mf_n_00000000_f_n.png
61,Poliwhirl,,Water,,65,65,65,50,50,90,1,poke_icon_0061_000_mf_n_00000000_f_n.png,poke_icon_sh_0061_000_mf_n_00000000_f_n.png
62,Poliwrath,,Water,Fighting,90,95,95,70,90,70,1,poke_icon_0062_000_mf_n_00000000_f_n.png,poke_icon_sh_0062_000_mf_n_00000000_f_n.png
63,Abra,,Psychic,,25,20,15,105,55,90,1,poke_icon_0063_000_mf_n_00000000_f_n.png,poke_icon_sh_0063_000_mf_n_00000000_f_n.png
64,Kadabra,,Psychic,,40,35,30,120,70,105,1,poke_icon_0064_000_md_n_00000000_f_n.png,poke_icon_sh_0064_000_md_n_00000000_f_n.png
65,Alakazam,,Psychic,,55,50,45,135,95,120,1,poke_icon_0065_000_md_n_00000000_f_n.png,poke_icon_sh_0065_000_md_n_00000000_f_n.png
66,Machop,,Fighting,,70,80,50,35,35,35,1,poke_icon_0066_000_mf_n_00000000_f_n.png,poke_icon_sh_0066_000_mf_n_00000000_f_n.png
67,Machoke,,Fighting,,80,100,70,50,60,45,1,poke_icon_0067_000_mf_n_00000000_f_n.png,poke_icon_sh_0067_000_mf_n_00000000_f_n.png
68,Machamp,,Fighting,,90,130,80,65,85,55,1,poke_icon_0068_000_mf_n_00000000_f_n.png,poke_icon_sh_0068_000_mf_n_00000000_f_n.png
69,Bellsprout,,Grass,Poison,50,75,35,70,30,40,1,poke_icon_0069_000_mf_n_00000000_f_n.png,poke_icon_sh_0069_000_mf_n_00000000_f_n.png
70,Weepinbell,,Grass,Poison,65,90,50,85,45,55,1,poke_icon_0070_000_mf_n_00000000_f_n.png,poke_icon_sh_0070_000_mf_n_00000000_f_n.png
71,Victreebel,,Grass,Poison,80,105,65,100,70,70,1,poke_icon_0071_000_mf_n_00000000_f_n.png,poke_icon_sh_0071_000_mf_n_00000000_f_n.png
72,Tentacool,,Water,Poison,40,40,35,50,100,70,1,poke_icon_0072_000_mf_n_00000000_f_n.png,poke_icon_sh_0072_000_mf_n_00000000_f_n.png
73,Tentacruel,,Water,Poison,80,70,65,80,120,100,1,poke_icon_0073_000_mf_n_00000000_f_n.png,poke_icon_sh_0073_000_mf_n_00000000_f_n.png
74,Geodude,,Rock,Ground,40,80,100,30,30,20,1,poke_icon_0074_000_mf_n_00000000_f_n.png,poke_icon_sh_0074_000_mf_n_00000000_f_n.png
74,Geodude,Alolan Geodude,Rock,Electric,40,80,100,30,30,20,7,poke_icon_0074_001_mf_n_00000000_f_n.png,poke_icon_sh_0074_001_mf_n_00000000_f_n.png
75,Graveler,,Rock,Ground,55,95,115,45,45,35,1,poke_icon_0075_000_mf_n_00000000_f_n.png,poke_icon_sh_0075_000_mf_n_00000000_f_n.png
75,Graveler,Alolan Graveler,Rock,Electric,55,95,115,45,45,35,7,poke_icon_0075_001_mf_n_00000000_f_n.png,poke_icon_sh_0075_001_mf_n_00000000_f_n.png
76,Golem,,Rock,Ground,80,120,130,55,65,45,1,poke_icon_0076_000_mf_n_00000000_f_n.png,poke_icon_sh_0076_000_mf_n_00000000_f_n.png
76,Golem,Alolan Golem,Rock,Electric,80,120,130,55,65,45,7,poke_icon_0076_001_mf_n_00000000_f_n.png,poke_icon_sh_0076_001_mf_n_00000000_f_n.png
77,Ponyta,,Fire,,50,85,55,65,65,90,1,poke_icon_0077_000_mf_n_00000000_f_n.png,poke_icon_sh_0077_000_mf_n_00000000_f_n.png
77,Ponyta,Galarian Ponyta,Psychic,,50,85,55,65,65,90,8,poke_icon_0077_001_mf_n_00000000_f_n.png,poke_icon_sh_0077_001_mf_n_00000000_f_n.png
78,Rapidash,,Fire,,65,100,70,80,80,105,1,poke_icon_0078_000_mf_n_00000000_f_n.png,poke_icon_sh_0078_000_mf_n_00000000_f_n.png
78,Rapidash,Galarian Rapidash,Psychic,Fairy,65,100,70,80,80,105,8,poke_icon_0078_001_mf_n_00000000_f_n.png,poke_icon_sh_0078_001_mf_n_00000000_f_n.png
79,Slowpoke,,Water,Psychic,90,65,65,40,40,15,1,poke_icon_0079_000_mf_n_00000000_f_n.png,poke_icon_sh_0079_000_mf_n_00000000_f_n.png
79,Slowpoke,Galarian Slowpoke,Psychic,,90,65,65,40,40,15,8,poke_icon_0079_001_mf_n_00000000_f_n.png,poke_icon_sh_0079_001_mf_n_00000000_f_n.png
80,Slowbro,,Water,Psychic,95,75,110,100,80,30,1,poke_icon_0080_000_mf_n_00000000_f_n.png,poke_icon_sh_0080_000_mf_n_00000000_f_n.png
80,Slowbro,Galarian Slowbro,Poison,Psychic,95,100,95,100,70,30,8,poke_icon_0080_002_mf_n_00000000_f_n.png,poke_icon_sh_0080_002_mf_n_00000000_f_n.png
81,Magnemite,,Electric,Steel,25,35,70,95,55,45,1,poke_icon_0081_000_uk_n_00000000_f_n.png,poke_icon_sh_0081_000_uk_n_00000000_f_n.png
82,Magneton,,Electric,Steel,50,60,95,120,70,70,1,poke_icon_0082_000_uk_n_00000000_f_n.png,poke_icon_sh_0082_000_uk_n_00000000_f_n.png
83,Farfetch'd,,Normal,Flying,52,90,55,58,62,60,1,poke_icon_0083_000_mf_n_00000000_f_n.png,poke_icon_sh_0083_000_mf_n_00000000_f_n.png
83,Farfetch'd,Galarian Farfetch'd,Fighting,,52,95,55,58,62,55,8,poke_icon_0083_001_mf_n_00000000_f_n.png,poke_icon_sh_0083_001_mf_n_00000000_f_n.png
84,Doduo,,Normal,Flying,35,85,45,35,35,75,1,poke_icon_0084_000_md_n_00000000_f_n.png,poke_icon_sh_0084_000_md_n_00000000_f_n.png
85,Dodrio,,Normal,Flying,60,110,70,60,60,110,1,poke_icon_0085_000_md_n_00000000_f_n.png,poke_icon_sh_0085_000_md_n_00000000_f_n.png
86,Seel,,Water,,65,45,55,45,70,45,1,poke_icon_0086_000_mf_n_00000000_f_n.png,poke_icon_sh_0086_000_mf_n_00000000_f_n.png
87,Dewgong,,Water,Ice,90,70,80,70,95,70,1,poke_icon_0087_000_mf_n_00000000_f_n.png,poke_icon_sh_0087_000_mf_n_00000000_f_n.png
88,Grimer,,Poison,,80,80,50,40,50,25,1,poke_icon_0088_000_mf_n_00000000_f_n.png,poke_icon_sh_0088_000_mf_n_00000000_f_n.png
88,Grimer,Alolan Grimer,Poison,Dark,80,80,50,40,50,25,7,poke_icon_0088_001_mf_n_00000000_f_n.png,poke_icon_sh_0088_001_mf_n_00000000_f_n.png
89,Muk,,Poison,,105,105,75,65,100,50,1,poke_icon_0089_000_mf_n_00000000_f_n.png,poke_icon_sh_0089_000_mf_n_00000000_f_n.png
89,Muk,Alolan Muk,Poison,Dark,105,105,75,65,100,50,7,poke_icon_0089_001_mf_n_00000000_f_n.png,poke_icon_sh_0089_001_mf_n_00000000_f_n.png
90,Shellder,,Water,,30,65,100,45,25,40,1,poke_icon_0090_000_mf_n_00000000_f_n.png,poke_icon_sh_0090_000_mf_n_00000000_f_n.png
91,Cloyster,,Water,Ice,50,95,180,85,45,70,1,poke_icon_0091_000_mf_n_00000000_f_n.png,poke_icon_sh_0091_000_mf_n_00000000_f_n.png
92,Gastly,,Ghost,Poison,30,35,30,100,35,80,1,poke_icon_0092_000_mf_n_00000000_f_n.png,poke_icon_sh_0092_000_mf_n_00000000_f_n.png
93,Haunter,,Ghost,Poison,45,50,45,115,55,95,1,poke_icon_0093_000_mf_n_00000000_f_n.png,poke_icon_sh_0093_000_mf_n_00000000_f_n.png
94,Gengar,,Ghost,Poison,60,65,60,130,75,110,1,poke_icon_0094_000_mf_n_00000000_f_n.png,poke_icon_sh_0094_000_mf_n_00000000_f_n.png
95,Onix,,Rock,Ground,35,45,160,30,45,70,1,poke_icon_0095_000_mf_n_00000000_f_n.png,poke_icon_sh_0095_000_mf_n_00000000_f_n.png
96,Drowzee,,Psychic,,60,48,45,43,90,42,1,poke_icon_0096_000_mf_n_00000000_f_n.png,poke_icon_sh_0096_000_mf_n_00000000_f_n.png
97,Hypno,,Psychic,,85,73,70,73,115,67,1,poke_icon_0097_000_md_n_00000000_f_n.png,poke_icon_sh_0097_000_md_n_00000000_f_n.png
98,Krabby,,Water,,30,105,90,25,25,50,1,poke_icon_0098_000_mf_n_00000000_f_n.png,poke_icon_sh_0098_000_mf_n_00000000_f_n.png
99,Kingler,,Water,,55,130,115,50,50,75,1,poke_icon_0099_000_mf_n_00000000_f_n.png,poke_icon_sh_0099_000_mf_n_00000000_f_n.png
100,Voltorb,,Electric,,40,30,50,55,55,100,1,poke_icon_0100_000_uk_n_00000000_f_n.png,poke_icon_sh_0100_000_uk_n_00000000_f_n.png
100,Voltorb,Hisuian Voltorb,Electric,Grass,40,30,50,55,55,100,8,poke_icon_0100_001_uk_n_00000000_f_n.png,poke_icon_sh_0100_001_uk_n_00000000_f_n.png
101,Electrode,,Electric,,60,50,70,80,80,150,1,poke_icon_0101_000_uk_n_00000000_f_n.png,poke_icon_sh_0101_000_uk_n_00000000_f_n.png
101,Electrode,Hisuian Electrode,Electric,Grass,60,50,70,80,80,150,8,poke_icon_0101_001_uk_n_00000000_f_n.png,poke_icon_sh_0101_001_uk_n_00000000_f_n.png
102,Exeggcute,,Grass,Psychic,60,40,80,60,45,40,1,poke_icon_0102_000_mf_n_00000000_f_n.png,poke_icon_sh_0102_000_mf_n_00000000_f_n.png
103,Exeggutor,,Grass,Psychic,95,95,85,125,75,55,1,poke_icon_0103_000_mf_n_00000000_f_n.png,poke_icon_sh_0103_000_mf_n_00000000_f_n.png
103,Exeggutor,Alolan Exeggutor,Grass,Dragon,95,105,85,125,75,45,7,poke_icon_0103_001_mf_n_00000000_f_n.png,poke_icon_sh_0103_001_mf_n_00000000_f_n.png
104,Cubone,,Ground,,50,50,95,40,50,35,1,poke_icon_0104_000_mf_n_00000000_f_n.png,poke_icon_sh_0104_000_mf_n_00000000_f_n.png
105,Marowak,,Ground,,60,80,110,50,80,45,1,poke_icon_0105_000_mf_n_00000000_f_n.png,poke_icon_sh_0105_000_mf_n_00000000_f_n.png
105,Marowak,Alolan Marowak,Fire,Ghost,60,80,110,50,80,45,7,poke_icon_0105_001_mf_n_00000000_f_n.png,poke_icon_sh_0105_001_mf_n_00000000_f_n.png
106,Hitmonlee,,Fighting,,50,120,53,35,110,87,1,poke_icon_0106_000_mo_n_00000000_f_n.png,poke_icon_sh_0106_000_mo_n_00000000_f_n.png
107,Hitmonchan,,Fighting,,50,105,79,35,110,76,1,poke_icon_0107_000_mo_n_00000000_f_n.png,poke_icon_sh_0107_000_mo_n_00000000_f_n.png
108,Lickitung,,Normal,,90,55,75,60,75,30,1,poke_icon_0108_000_mf_n_00000000_f_n.png,poke_icon_sh_0108_000_mf_n_00000000_f_n.png
109,Koffing,,Poison,,40,65,95,60,45,35,1,poke_icon_0109_000_mf_n_00000000_f_n.png,poke_icon_sh_0109_000_mf_n_00000000_f_n.png
110,Weezing,,Poison,,65,90,120,85,70,60,1,poke_icon_0110_000_mf_n_00000000_f_n.png,poke_icon_sh_0110_000_mf_n_00000000_f_n.png
110,Weezing,Galarian Weezing,Poison,Fairy,65,90,120,85,70,60,8,poke_icon_0110_001_mf_n_00000000_f_n.png,poke_icon_sh_0110_001_mf_n_00000000_f_n.png
111,Rhyhorn,,Ground,Rock,80,85,95,30,30,25,1,poke_icon_0111_000_md_n_00000000_f_n.png,poke_icon_sh_0111_000_md_n_00000000_f_n.png
112,Rhydon,,Ground,Rock,105,130,120,45,45,40,1,poke_icon_0112_000_md_n_00000000_f_n.png,poke_icon_sh_0112_000_md_n_00000000_f_n.png
113,Chansey,,Normal,,250,5,5,35,105,50,1,poke_icon_0113_000_fo_n_00000000_f_n.png,poke_icon_sh_0113_000_fo_n_00000000_f_n.png
114,Tangela,,Grass,,65,55,115,100,40,60,1,poke_icon_0114_000_mf_n_00000000_f_n.png,poke_icon_sh_0114_000_mf_n_00000000_f_n.png
115,Kangaskhan,,Normal,,105,95,80,40,80,90,1,poke_icon_0115_000_fo_n_00000000_f_n.png,poke_icon_sh_0115_000_fo_n_00000000_f_n.png
116,Horsea,,Water,,30,40,70,70,25,60,1,poke_icon_0116_000_mf_n_00000000_f_n.png,poke_icon_sh_0116_000_mf_n_00000000_f_n.png
117,Seadra,,Water,,55,65,95,95,45,85,1,poke_icon_0117_000_mf_n_00000000_f_n.png,poke_icon_sh_0117_000_mf_n_00000000_f_n.png
118,Goldeen,,Water,,45,67,60,35,50,63,1,poke_icon_0118_000_md_n_00000000_f_n.png,poke_icon_sh_0118_000_md_n_00000000_f_n.png
119,Seaking,,Water,,80,92,65,65,80,68,1,poke_icon_0119_000_md_n_00000000_f_n.png,poke_icon_sh_0119_000_md_n_00000000_f_n.png
120,Staryu,,Water,,30,45,55,70,55,85,1,poke_icon_0120_000_uk_n_00000000_f_n.png,poke_icon_sh_0120_000_uk_n_00000000_f_n.png
121,Starmie,,Water,Psychic,60,75,85,100,85,115,1,poke_icon_0121_000_uk_n_00000000_f_n.png,poke_icon_sh_0121_000_uk_n_00000000_f_n.png
122,Mr. Mime,,Psychic,Fairy,40,45,65,100,120,90,1,poke_icon_0122_000_mf_n_00000000_f_n.png,poke_icon_sh_0122_000_mf_n_00000000_f_n.png
122,Mr. Mime,Galarian Mr. Mime,Ice,Psychic,50,65,65,90,90,100,8,poke_icon_0122_001_mf_n_00000000_f_n.png,poke_icon_sh_0122_001_mf_n_00000000_f_n.png
123,Scyther,,Bug,Flying,70,110,80,55,80,105,1,poke_icon_0123_000_md_n_00000000_f_n.png,poke_icon_sh_0123_000_md_n_00000000_f_n.png
124,Jynx,,Ice,Psychic,65,50,35,115,95,95,1,poke_icon_0124_000_fo_n_00000000_f_n.png,poke_icon_sh_0124_000_fo_n_00000000_f_n.png
125,Electabuzz,,Electric,,65,83,57,95,85,105,1,poke_icon_0125_000_mf_n_00000000_f_n.png,poke_icon_sh_0125_000_mf_n_00000000_f_n.png
126,Magmar,,Fire,,65,95,57,100,85,93,1,poke_icon_0126_000_mf_n_00000000_f_n.png,poke_icon_sh_0126_000_mf_n_00000000_f_n.png
127,Pinsir,,Bug,,65,125,100,55,70,85,1,poke_icon_0127_000_mf_n_00000000_f_n.png,poke_icon_sh_0127_000_mf_n_00000000_f_n.png
128,Tauros,,Normal,,75,100,95,40,70,110,1,poke_icon_0128_000_mo_n_00000000_f_n.png,poke_icon_sh_0128_000_mo_n_00000000_f_n.png
128,Tauros,Combat Breed,Fighting,,75,110,105,30,70,100,9,poke_icon_0128_003_md_n_00000000_f_n.png,poke_icon_sh_0128_003_md_n_00000000_f_n.png
128,Tauros,Blaze Breed,Fighting,Fire,75,110,105,30,70,100,9,poke_icon_0128_002_md_n_00000000_f_n.png,poke_icon_sh_0128_002_md_n_00000000_f_n.png
128,Tauros,Aqua Breed,Fighting,Water,75,110,105,30,70,100,9,poke_icon_0128_001_md_n_00000000_f_n.png,poke_icon_sh_0128_001_md_n_00000000_f_n.png
