,Unnamed: 0,track_id,artists,album_name,track_name,popularity,duration_ms,explicit,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature,track_genre
20850,20850,1xzi1Jcr7mEi9K2RfzLOqS,['Beyoncé'],RENAISSANCE,CUFF IT,93,225388,True,0.78,0.689,7,-5.668,1,0.141,0.0368,9.69e-06,0.0698,0.642,115.042,4,dance
15013,15013,3JvKfv6T31zO0ini8iNItO,['Tom Odell'],Long Way Down (Deluxe),Another Love,93,244360,True,0.445,0.537,4,-8.532,0,0.04,0.695,1.65e-05,0.0944,0.131,122.769,4,chill
67700,67700,31i56LZnwE6uSu3exoHjtB,['Bad Bunny'],Un Verano Sin Ti,Neverita,93,173119,False,0.876,0.498,10,-7.511,1,0.0478,0.0706,0.0,0.143,0.428,122.016,4,latin
81100,81100,0WtM2NBVQNNJLh6scP13H8,"['Rema', 'Selena Gomez']",Calm Down (with Selena Gomez),Calm Down (with Selena Gomez),92,239317,False,0.801,0.806,11,-5.206,1,0.0381,0.382,0.000669,0.114,0.802,106.999,4,pop
20017,20017,0mBP9X2gPCuapvpZ7TGDk3,"['Charlie Puth', 'Jung Kook', 'BTS']",Left and Right (Feat. Jung Kook of BTS),Left and Right (Feat. Jung Kook of BTS),92,154486,False,0.881,0.592,2,-4.898,1,0.0324,0.619,1.32e-05,0.0901,0.719,101.058,4,dance
20410,20410,4C6Uex2ILwJi9sZXRdmqXp,['Nicki Minaj'],Super Freaky Girl,Super Freaky Girl,92,170977,True,0.95,0.891,2,-2.653,1,0.241,0.0645,1.77e-05,0.309,0.912,133.01,4,dance
38000,38000,5XeFesFbtLpXzIVDNQP22n,['Arctic Monkeys'],AM,I Wanna Be Yours,92,183956,False,0.464,0.417,0,-9.345,0,0.0256,0.136,0.022,0.0974,0.479,67.528,4,garage
67865,67865,41oY4WCTj5kccfesTVFnvN,"['Bad Bunny', 'Jhayco']",Un Verano Sin Ti,Tarot,91,237894,True,0.795,0.684,11,-3.971,0,0.0419,0.0225,0.0,0.658,0.419,114.011,4,latin
51203,51203,3F5CgOj3wFlRv51JsHbxhe,"['Drake', '21 Savage']","Honestly, Nevermind",Jimmy Cooks (feat. 21 Savage),91,218364,True,0.529,0.673,0,-4.711,1,0.175,0.000307,2.41e-06,0.093,0.366,165.921,4,hip-hop
67907,67907,6i1g5ZRmJZAkDwBaUZ3f2i,['Luar La L'],L3tra,Caile,91,141340,True,0.704,0.756,0,-4.948,1,0.448,0.298,3.75e-06,0.0852,0.461,121.737,3,latin
67801,67801,79HZAZNnOE97rb2hnI0XQr,"['Rauw Alejandro', 'Lyanno', 'Brray']",LOKERA,LOKERA,91,195294,False,0.834,0.828,11,-2.657,0,0.0452,0.21,5.91e-06,0.103,0.58,102.019,4,latin
81015,81015,2eAvDnpXP5W0cVtiI0PUxV,['Ruth B.'],Safe Haven,Dandelions,90,233720,False,0.609,0.692,1,-2.958,1,0.0259,0.0157,0.0,0.0864,0.454,116.959,3,pop
79001,79001,75FEaRjZTKLhTrFGsfMUXR,['Kate Bush'],Hounds Of Love,Running Up That Hill (A Deal With God),90,298933,False,0.629,0.547,10,-13.123,0,0.055,0.72,0.00314,0.0604,0.197,108.375,4,piano
51259,51259,38T0tPVZHcPZyhtOcCP7pF,['Lil Nas X'],STAR WALKIN' (League of Legends Worlds Anthem),STAR WALKIN' (League of Legends Worlds Anthem),90,210575,True,0.637,0.715,2,-4.971,0,0.0455,0.148,0.0,0.0892,0.308,141.872,4,hip-hop
68673,68673,1797zYiX4cKosMH836X9Gt,"['Bad Bunny', 'Tony Dize']",Un Verano Sin Ti,La Corriente,90,198367,True,0.663,0.786,11,-3.51,0,0.195,0.229,0.0,0.219,0.579,196.12,4,latino
81004,81004,7MXVkk9YMctZqd1Srtv4MB,"['The Weeknd', 'Daft Punk']",Starboy,Starboy,90,230453,True,0.679,0.587,7,-7.015,1,0.276,0.141,6.35e-06,0.137,0.486,186.003,4,pop
20811,20811,4zN21mbAuaD0WqtmaTZZeP,"['James Hype', 'Miggy Dela Rosa']",Ferrari,Ferrari,90,186661,False,0.847,0.69,1,-7.877,0,0.0493,0.0127,6e-05,0.0526,0.692,125.004,4,dance
81050,81050,0T5iIrXA4p5GsubkhuBIKV,['Stephen Sanchez'],Until I Found You,Until I Found You,90,177720,False,0.539,0.508,10,-6.05,1,0.0288,0.727,0.0,0.174,0.227,101.358,3,pop
81101,81101,1cKHdTo9u0ZymJdPGSh6nq,"['The Weeknd', 'Gesaffelstein']","My Dear Melancholy,",I Was Never There,90,241066,False,0.323,0.737,10,-4.008,1,0.0338,0.142,0.000162,0.163,0.155,113.26,4,pop
68553,68553,4tYFy8ALRjIZvnvSLw5lxN,"['Bad Bunny', 'Rauw Alejandro']",Un Verano Sin Ti,Party,90,227628,False,0.829,0.799,9,-5.389,1,0.0897,0.0151,0.000543,0.242,0.471,97.013,4,latino
67602,67602,2rurDawMfoKP4uHyb2kJBt,"['Shakira', 'Rauw Alejandro']",Te Felicito,Te Felicito,90,172235,False,0.695,0.636,5,-4.654,1,0.317,0.234,0.0,0.081,0.575,174.14,4,latin
20200,20200,0hquQWY3xvYqN4qtiquniF,['Doja Cat'],Vegas (From the Original Motion Picture Soundtrack ELVIS),Vegas (From the Original Motion Picture Soundtrack ELVIS),90,182906,True,0.801,0.601,8,-7.574,0,0.255,0.0777,3.23e-05,0.145,0.74,159.969,4,dance
91000,91000,7DbdUf8aHSYoliSjO6LZv6,['Beach Weather'],Chit Chat,"Sex, Drugs, Etc.",90,196784,False,0.572,0.839,4,-5.083,0,0.0377,0.013,0.00976,0.522,0.465,143.969,4,rock
68611,68611,5jt25aFjW2kNoBqaEVaz5W,"['Mora', 'Feid']",MICRODOSIS,LA INOCENTE,89,202173,True,0.757,0.789,5,-3.46,0,0.0583,0.307,0.0,0.0717,0.464,91.911,4,latino
68651,68651,3fjN3y5x4hN53rykAN2LHQ,['Rels B'],cómo dormiste?,cómo dormiste?,89,112572,True,0.627,0.429,1,-8.255,1,0.234,0.238,0.0,0.122,0.565,126.426,5,latino
37000,37000,1DIXPcTDzTj8ZMHt3PDt8p,"['Coolio', 'L.V.']",Gangsta's Paradise,Gangsta's Paradise,89,240693,False,0.647,0.514,8,-10.05,1,0.0593,0.0655,0.0,0.398,0.386,79.975,4,funk
81150,81150,09mEdoA6zrmBPgTEN5qXmN,['The Weeknd'],"My Dear Melancholy,",Call Out My Name,89,228373,False,0.461,0.593,1,-4.954,1,0.0356,0.17,0.0,0.307,0.175,134.17,3,pop
51004,51004,5HCyWlXZPP0y6Gqq8TgA20,"['The Kid LAROI', 'Justin Bieber']",STAY (with Justin Bieber),STAY (with Justin Bieber),89,141805,True,0.591,0.764,1,-5.484,1,0.0483,0.0383,0.0,0.103,0.478,169.928,4,hip-hop
81053,81053,0u2P5u6lvoDfwTYjAADbn4,"['Billie Eilish', 'Khalid']",lovely (with Khalid),lovely (with Khalid),89,200185,False,0.351,0.296,4,-10.109,0,0.0333,0.934,0.0,0.095,0.12,115.284,4,pop
20014,20014,7ef4DlsgrMEH11cDZd32M6,"['Calvin Harris', 'Dua Lipa']",One Kiss (with Dua Lipa),One Kiss (with Dua Lipa),89,214846,False,0.791,0.862,9,-3.24,0,0.11,0.037,2.19e-05,0.0814,0.592,123.994,4,dance
51751,51751,59nOXPmaKlBfGMDeOVGrIK,"['Future', 'Drake', 'Tems']",I NEVER LIKED YOU,WAIT FOR U (feat. Drake & Tems),89,189893,True,0.463,0.642,1,-4.474,1,0.34,0.314,0.0,0.0686,0.339,83.389,4,hip-hop
57053,57053,4SqWKzw0CbA05TGszDgMlc,['The Walters'],I Love You So,I Love You So,89,160239,False,0.575,0.648,10,-4.891,1,0.0358,0.583,0.0,0.115,0.466,75.977,4,indie
51060,51060,27ZZdyTSQWI7Cug2d2PkqV,['Armani White'],BILLIE EILISH.,BILLIE EILISH.,89,99282,True,0.9,0.509,1,-6.647,1,0.257,0.115,1.67e-06,0.0937,0.765,100.007,4,hip-hop
51352,51352,1PckUlxKqWQs3RlWXVBLw3,['Lizzo'],About Damn Time,About Damn Time,89,191822,True,0.836,0.743,10,-6.305,0,0.0656,0.0995,0.0,0.335,0.722,108.966,4,hip-hop
81657,81657,5CZ40GBx1sQ9agT82CLQCT,['Olivia Rodrigo'],SOUR,traitor,88,229226,False,0.38,0.339,3,-7.885,1,0.0338,0.691,0.0,0.12,0.0849,100.607,4,pop
55001,55001,6VBhH7CyP56BXjp8VsDFPZ,"['Pritam', 'Arijit Singh', 'Amitabh Bhattacharya']","Kesariya (From ""Brahmastra"")","Kesariya (From ""Brahmastra"")",88,268164,False,0.577,0.574,0,-6.525,1,0.0278,0.572,0.0,0.1,0.436,94.009,4,indian
103154,103154,2TktkzfozZifbQhXjT6I33,['Omar Apollo'],Ivory,Evergreen (You Didn’t Deserve Me At All),88,216680,False,0.697,0.336,9,-10.395,1,0.0424,0.598,0.00528,0.107,0.31,82.029,3,soul
51450,51450,68Dni7IE4VyPkTOH9mRWHr,['J. Cole'],2014 Forest Hills Drive,No Role Modelz,88,292799,True,0.69,0.521,10,-8.492,0,0.339,0.324,0.0,0.0534,0.494,100.028,4,hip-hop
81013,81013,5O2P9iiztwhomNh8xkR9lJ,['One Direction'],FOUR (Deluxe),Night Changes,88,226600,False,0.672,0.52,8,-7.747,1,0.0353,0.859,0.0,0.115,0.37,120.001,4,pop
68604,68604,0kTMK4gNFfLXaTb62w1UaJ,"['Pablo Pesadilla', 'Polimá Westcoast', 'Nickoog Clk', 'Fran C']",BABY OTAKU,BABY OTAKU,88,176470,True,0.835,0.747,9,-4.65,1,0.083,0.0492,0.0,0.055,0.432,102.003,4,latino
68663,68663,6DoL1yYIwEW7VZMRaJhoJI,"['Chris Jedi', 'Anuel AA', 'Chencho Corleone', 'Ñengo Flow']",La Llevo Al Cielo (Ft. Ñengo Flow),La Llevo Al Cielo (Ft. Ñengo Flow),88,254920,True,0.795,0.845,9,-3.809,0,0.135,0.105,1.14e-05,0.172,0.769,170.023,4,latino
38004,38004,086myS9r57YsLbJpU0TgK9,['Arctic Monkeys'],AM,Why'd You Only Call Me When You're High?,88,161123,False,0.691,0.631,2,-6.478,1,0.0368,0.0483,1.13e-05,0.104,0.8,92.004,4,garage
38003,38003,0BxE4FqsDD1Ot4YuBXwAPp,['Arctic Monkeys'],Favourite Worst Nightmare,505,88,253586,False,0.526,0.866,0,-5.822,1,0.0568,0.00287,7.78e-05,0.0945,0.248,140.266,4,garage
38001,38001,5FVd6KXrgO9B3JPmC8OPst,['Arctic Monkeys'],AM,Do I Wanna Know?,88,272394,False,0.548,0.532,5,-7.596,1,0.0323,0.186,0.000263,0.217,0.405,85.03,4,garage
81857,81857,1R0a2iXumgCiFb7HEZ7gUE,['Taylor Swift'],reputation,Don’t Blame Me,88,236413,False,0.615,0.534,9,-6.719,0,0.0386,0.106,1.76e-05,0.0607,0.193,135.917,4,pop
47000,47000,2HZLXBOnaSRhXStMLrq9fD,['Ghost'],Seven Inches Of Satanic Panic,Mary On A Cross,88,244804,False,0.466,0.9,11,-4.469,1,0.0447,0.000235,0.00104,0.103,0.561,130.02,4,hard-rock
81500,81500,2Ch7LmS7r2Gy2kc64wv3Bz,['The Weeknd'],Starboy,Die For You,88,260253,False,0.582,0.525,1,-7.163,0,0.0627,0.111,0.0,0.134,0.51,133.249,4,pop
65053,65053,2gYj9lubBorOPIVWsTXugG,['IVE'],After LIKE,After LIKE,88,176973,False,0.68,0.922,0,-1.215,1,0.121,0.103,0.0,0.0877,0.799,125.014,4,k-pop
20654,20654,0QBzMgT7NIeoCYy3sJCof1,"['Camila Cabello', 'Ed Sheeran']",Bam Bam (feat. Ed Sheeran),Bam Bam (feat. Ed Sheeran),87,206070,False,0.756,0.697,8,-6.377,1,0.0401,0.182,0.0,0.333,0.956,94.996,4,dance
33007,33007,5TXDeTFVRVY7Cvt0Dw4vWW,['XXXTENTACION'],17,Revenge,87,120026,True,0.746,0.251,11,-16.169,0,0.259,0.782,0.00203,0.106,0.18,139.999,4,emo
81752,81752,6HU7h9RYOaPRFeh0R3UeAr,['Olivia Rodrigo'],SOUR,deja vu,87,215506,True,0.442,0.612,2,-7.222,1,0.112,0.584,5.7e-06,0.37,0.178,180.917,4,pop
20419,20419,7fZBQnc0zXwVybgCIrQQil,"['Imanbek', 'BYOR']",Belly Dancer,Belly Dancer,87,151475,False,0.845,0.797,1,-4.984,1,0.139,0.0582,5.57e-06,0.167,0.422,121.985,4,dance
68602,68602,2JPLbjOn0wPCngEot2STUS,['Bad Bunny'],Yonaguni,Yonaguni,87,206710,True,0.644,0.648,1,-4.601,1,0.118,0.276,0.0,0.135,0.44,179.951,4,latino
20030,20030,0xzI1KAr0Yd9tv8jlIk3sn,"['benny blanco', 'BTS', 'Snoop Dogg']",Bad Decisions (with BTS & Snoop Dogg),Bad Decisions (with BTS & Snoop Dogg),87,172714,False,0.762,0.861,0,-3.296,1,0.0955,0.0185,0.0,0.264,0.955,120.048,4,dance
51216,51216,3yfqSUWxFvZELEM4PmlwIR,['Eminem'],The Marshall Mathers LP,The Real Slim Shady,87,284200,True,0.949,0.661,5,-4.244,0,0.0572,0.0302,0.0,0.0454,0.76,104.504,4,hip-hop
2000,2000,5E30LdtzQTGqRvNd7l6kG5,['The Neighbourhood'],Wiped Out!,Daddy Issues,87,260173,False,0.588,0.521,10,-9.461,1,0.0329,0.0678,0.149,0.123,0.337,85.012,4,alt-rock
68860,68860,4d4ZXH4dr5bYfgErHiZCX2,['Bad Bunny'],Un Verano Sin Ti,Dos Mil 16,87,208615,False,0.817,0.67,1,-6.534,1,0.0506,0.123,1.92e-06,0.128,0.495,130.058,3,latino
68866,68866,6VrQTLzzuyGIYjUDe4kAZk,['Bad Bunny'],Un Verano Sin Ti,Un Coco,87,196412,False,0.839,0.69,11,-4.464,1,0.0615,0.207,8.33e-06,0.176,0.744,151.991,4,latino
107001,107001,4RvWPyQ5RL0ao9LPZeSouE,['Tears For Fears'],Songs From The Big Chair (Super Deluxe Edition),Everybody Wants To Rule The World,87,251488,False,0.645,0.795,7,-12.095,1,0.0527,0.347,0.00389,0.104,0.535,112.067,4,synth-pop
20910,20910,3w3y8KPTfNeOKPiqUTakBh,['Bruno Mars'],Unorthodox Jukebox,Locked out of Heaven,87,233478,False,0.726,0.698,5,-4.165,1,0.0431,0.049,0.0,0.309,0.867,143.994,4,dance
51402,51402,4cacyP5c3PMlfnyjpg13xW,['Yung Gravy'],Betty (Get Money),Betty (Get Money),87,146470,False,0.723,0.772,1,-6.784,1,0.0792,0.00524,1.15e-05,0.367,0.58,102.004,4,hip-hop
68716,68716,5CzixCxDkRXX9mScCmah8O,['Bad Bunny'],Un Verano Sin Ti,Un Ratito,87,176936,False,0.787,0.546,0,-7.094,0,0.0532,0.305,4.55e-05,0.122,0.222,93.05,4,latino
81664,81664,4xqrdfXkTW4T0RauPLv3WA,['Conan Gray'],Kid Krow,Heather,87,198040,False,0.357,0.425,5,-7.301,1,0.0333,0.584,0.0,0.322,0.27,102.078,3,pop
68701,68701,4gzsuuZypVbxs0Af1LSZyB,"['Tainy', 'Bad Bunny', 'Julieta Venegas']",Lo Siento BB:/ (with Bad Bunny & Julieta Venegas),Lo Siento BB:/ (with Bad Bunny & Julieta Venegas),87,207301,False,0.639,0.703,4,-6.33,0,0.0794,0.0889,1.78e-06,0.0865,0.138,169.888,4,latino
51051,51051,0e8nrvls4Qqv5Rfa2UhqmO,['Lil Nas X'],MONTERO,THATS WHAT I WANT,87,143901,True,0.737,0.846,1,-4.51,0,0.22,0.00614,0.0,0.0486,0.546,87.981,4,hip-hop
51277,51277,4xkOaSrkexMciUUogZKVTS,"['Eminem', 'Nate Dogg']",The Eminem Show,Till I Collapse,86,297786,True,0.548,0.847,1,-3.237,1,0.186,0.0622,0.0,0.0816,0.1,171.447,4,hip-hop
2002,2002,2K7xn816oNHJZ0aVqdQsha,['The Neighbourhood'],Hard To Imagine The Neighbourhood Ever Changing,Softcore,86,206280,False,0.575,0.568,9,-5.509,0,0.03,0.0484,0.000417,0.286,0.37,93.986,4,alt-rock
56051,56051,7EkWXAI1wn8Ii883ecd9xr,['Surf Curse'],Freaks,Freaks,86,147062,False,0.345,0.941,9,-9.918,1,0.0466,3.84e-05,0.633,0.0511,0.407,179.626,4,indie-pop
68865,68865,44XjoNvtwevktFKjvVe1vH,"['Bad Bunny', 'Buscabulla']",Un Verano Sin Ti,Andrea,86,339611,True,0.797,0.616,1,-10.229,0,0.375,0.762,0.000293,0.0979,0.451,103.071,4,latino
81031,81031,7qiZfU4dY1lWllzX7mPBI3,['Ed Sheeran'],÷ (Deluxe),Shape of You,86,233712,False,0.825,0.652,1,-3.183,0,0.0802,0.581,0.0,0.0931,0.931,95.977,4,pop
51050,51050,27NovPIUIRrOZoCHxABJwK,"['Lil Nas X', 'Jack Harlow']",INDUSTRY BABY (feat. Jack Harlow),INDUSTRY BABY (feat. Jack Harlow),86,212000,True,0.736,0.704,3,-7.409,0,0.0615,0.0203,0.0,0.0501,0.894,149.995,4,hip-hop
81207,81207,4iJyoBOLtHqaGxP12qzhQI,"['Justin Bieber', 'Daniel Caesar', 'Giveon']",Justice,Peaches (feat. Daniel Caesar & Giveon),86,198081,True,0.677,0.696,0,-6.181,1,0.119,0.321,0.0,0.42,0.464,90.03,4,pop
67354,67354,5fwSHlTEWpluwOM0Sxnh5k,['Farruko'],Pepas,Pepas,86,287120,True,0.762,0.766,7,-3.955,1,0.0343,0.00776,6.98e-05,0.128,0.442,130.001,4,latin
91022,91022,1r9xUipOqoNwggBpENDsvJ,"['Imagine Dragons', 'JID', 'Arcane', 'League of Legends']",Enemy (with JID) [from the series Arcane League of Legends],Enemy (with JID) - from the series Arcane League of Legends,86,173381,False,0.728,0.783,11,-4.424,0,0.266,0.237,0.0,0.434,0.555,77.011,4,rock
20028,20028,7JJmb5XwzOO8jgpou264Ml,['Shawn Mendes'],Illuminate (Deluxe),There's Nothing Holdin' Me Back,86,199440,False,0.866,0.813,11,-4.063,0,0.0554,0.38,0.0,0.0779,0.969,121.998,4,dance
81956,81956,2tGvwE8GcFKwNdAXMnlbfl,['Olivia Rodrigo'],SOUR,happier,86,175933,True,0.395,0.443,6,-9.72,1,0.133,0.765,9.67e-06,0.0839,0.338,168.924,3,pop
20026,20026,0ct6r3EGTcMLPtrXHDvVjc,['Avicii'],The Days / Nights,The Nights,86,176658,False,0.527,0.835,6,-5.298,1,0.0433,0.0166,0.0,0.249,0.654,125.983,4,dance
3004,3004,4fouWK6XVHhzl78KzQ1UjL,['GAYLE'],abcdefu,abcdefu,86,168601,True,0.695,0.54,4,-5.692,1,0.0493,0.299,0.0,0.367,0.415,121.932,4,alternative
19652,19652,5uU1uuyaUIBOiiUSQG7Wl3,['Morgan Wallen'],You Proof,You Proof,86,157477,False,0.731,0.85,9,-4.913,1,0.0336,0.252,0.0,0.605,0.644,119.706,4,country
56034,56034,3Wrjm47oTz2sjIgck11l5e,['Måneskin'],Chosen,Beggin',86,211560,False,0.714,0.8,11,-4.808,0,0.0504,0.127,0.0,0.359,0.589,134.002,4,indie-pop
81556,81556,3hUxzQpSfdDqwM3ZTFQY0K,['Taylor Swift'],folklore,august,86,261922,False,0.532,0.623,5,-9.208,1,0.0331,0.538,7.28e-05,0.0925,0.403,89.937,4,pop
65056,65056,0RDqNCRBGrSegk16Avfzuq,['TWICE'],BETWEEN 1&2,Talk that Talk,86,177466,False,0.772,0.907,3,-2.438,0,0.124,0.136,0.0,0.334,0.783,119.973,4,k-pop
56166,56166,1Ame8XTX6QHY0l0ahqUhgv,['Måneskin'],THE LONELIEST,THE LONELIEST,85,247067,False,0.519,0.595,2,-5.001,1,0.0283,0.00151,0.0,0.0762,0.237,129.786,4,indie-pop
88705,88705,1ri9ZUkBJVFUdgwzCnfcYs,"['Becky G', 'KAROL G']",MAMIII,MAMIII,85,226088,False,0.843,0.7,4,-3.563,0,0.0803,0.0934,0.0,0.14,0.899,93.991,4,reggae
91020,91020,2DgdHcjWmO3qd50RzuBLgZ,['Panic! At The Disco'],Death of a Bachelor,House of Memories,85,208706,False,0.506,0.817,11,-5.051,0,0.0335,0.00272,0.0,0.0486,0.506,109.952,4,rock
20154,20154,4qu63nuBpdn0qHUHuObEj1,"['Marshmello', 'Jonas Brothers']",Leave Before You Love Me,Leave Before You Love Me (with Jonas Brothers),85,154983,False,0.721,0.738,7,-4.77,1,0.0403,0.00226,4.41e-06,0.118,0.637,119.976,4,dance
3006,3006,60a0Rd6pjrkxjPbaKzXjfq,['Linkin Park'],Hybrid Theory (Bonus Edition),In the End,85,216880,False,0.556,0.864,3,-5.87,0,0.0584,0.00958,0.0,0.209,0.4,105.143,4,alternative
20007,20007,5nujrmhLynf4yMoMtj8AQF,"['Dua Lipa', 'DaBaby']",Future Nostalgia,Levitating (feat. DaBaby),85,203064,False,0.702,0.825,6,-3.787,0,0.0601,0.00883,0.0,0.0674,0.915,102.977,4,dance
47014,47014,08mG3Y1vljYA6bvDt4Wqkj,['AC/DC'],Back In Black,Back In Black,85,255493,False,0.31,0.7,9,-5.678,1,0.047,0.011,0.00965,0.0828,0.763,188.386,4,hard-rock
81209,81209,3RiPr603aXAoi4GHyXx0uy,['Coldplay'],A Head Full of Dreams,Hymn for the Weekend,85,258266,False,0.491,0.693,0,-6.487,0,0.0377,0.211,6.92e-06,0.325,0.412,90.027,4,pop
31057,31057,04sN26COy28wTXYj3dMoiZ,['Billie Eilish'],Bored,Bored,85,180933,False,0.614,0.318,7,-12.695,1,0.0478,0.896,0.00239,0.0795,0.112,119.959,4,electro
20012,20012,35mvY5S1H3J2QZyna3TFe0,['Ariana Grande'],Positions,positions,85,172324,True,0.737,0.802,0,-4.771,1,0.0878,0.468,0.0,0.0931,0.682,144.015,4,dance
81960,81960,5uCax9HTNlzGybIStD3vDh,['James Arthur'],Back from the Edge,Say You Won't Let Go,85,211466,False,0.358,0.557,10,-7.398,1,0.059,0.695,0.0,0.0902,0.494,85.043,4,pop
91108,91108,3CRDbSIZ4r5MsZ0YwxuEkn,['Twenty One Pilots'],Blurryface,Stressed Out,85,202333,False,0.734,0.637,4,-5.677,0,0.141,0.0462,2.29e-05,0.0602,0.648,169.977,4,rock
79063,79063,29d0nY7TzCoi22XBqDQkiP,['Kate Bush'],Hounds of Love (2018 Remaster),Running Up That Hill (A Deal With God) - 2018 Remaster,85,300840,False,0.625,0.533,10,-11.903,0,0.0596,0.659,0.00266,0.0546,0.139,108.296,4,piano
30365,30365,1bgKMxPQU7JIZEhNsM1vFs,"['Alesso', 'Zara Larsson']",Words (feat. Zara Larsson),Words (feat. Zara Larsson),85,142677,False,0.739,0.586,10,-5.079,0,0.0472,0.0245,0.000252,0.308,0.444,124.026,4,edm
68729,68729,5fhcuVxuBWfgNXGuyAtLmr,"['Piso 21', 'Manuel Turizo']",Los Cachos,Los Cachos,85,212304,False,0.774,0.73,0,-3.865,1,0.134,0.108,0.0,0.194,0.421,91.966,4,latino
103050,103050,3xKsf9qdS1CyvXSMEid6g8,['Frank Ocean'],Blonde,Pink + White,85,184516,False,0.545,0.545,9,-7.362,1,0.107,0.667,5.48e-05,0.417,0.549,159.94,3,soul
30466,30466,3rb0tMq42WfggucPm0HHkA,"['MEDUZA', 'James Carter', 'Elley Duhé', 'FAST BOY']",Bad Memories (feat. Elley Duhé & FAST BOY),Bad Memories (feat. Elley Duhé & FAST BOY),85,148629,False,0.607,0.767,5,-6.069,0,0.0474,0.118,0.0,0.122,0.662,123.998,3,edm
68874,68874,28GCbKgjlVD9eDmasGbe0T,['Bad Bunny'],Un Verano Sin Ti,Me Fui de Vacaciones,85,180929,False,0.714,0.645,10,-5.493,1,0.0514,0.229,0.00083,0.0942,0.434,85.046,4,latino
68816,68816,5kVZxyMY1gfdCLiChsfjn1,['Bad Bunny'],Un Verano Sin Ti,Yo No Soy Celoso,85,230704,True,0.872,0.588,0,-6.276,1,0.0492,0.275,0.0,0.17,0.93,142.004,4,latino
101376,101376,2bRKxuH1o7pTmb1y4GfdEc,"['White Noise Baby Sleep', 'White Noise for Babies']",Best White Noise for Baby Sleep - Loopable with No Fade,Clean White Noise - Loopable with no fade,85,90228,False,0.0,0.00342,8,-28.46,1,0.0,0.791,1.0,0.111,0.0,0.0,0,sleep
11003,11003,0gplL1WMoJ6iYaPgMCL0gX,['Adele'],Easy On Me,Easy On Me,85,224694,False,0.604,0.366,5,-7.519,1,0.0282,0.578,0.0,0.133,0.13,141.981,4,british
62002,62002,0o9zmvc5f3EFApU52PPIyW,['Fujii Kaze'],HELP EVER HURT NEVER,Shinunoga E-Wa,85,185573,False,0.6,0.76,6,-6.124,0,0.0452,0.166,4.09e-05,0.189,0.519,158.078,4,j-pop
